NAICS2017,NAICS2012
111110,111110
111120,111120
111130,111130
111140,111140
111150,111150
111160,111160
111191,111191
111199,111199
111211,111211
111219,111219
111310,111310
111320,111320
111331,111331
111332,111332
111333,111333
111334,111334
111335,111335
111336,111336
111339,111339
111411,111411
111419,111419
111421,111421
111422,111422
111910,111910
111920,111920
111930,111930
111940,111940
111991,111991
111992,111992
111998,111998
112111,112111
112112,112112
112120,112120
112130,112130
112210,112210
112310,112310
112320,112320
112330,112330
112340,112340
112390,112390
112410,112410
112420,112420
112511,112511
112512,112512
112519,112519
112910,112910
112920,112920
112930,112930
112990,112990
113110,113110
113210,113210
113310,113310
114111,114111
114112,114112
114119,114119
114210,114210
115111,115111
115112,115112
115113,115113
115114,115114
115115,115115
115116,115116
115210,115210
115310,115310
211120,211111
211130,211111
211130,211112
212111,212111
212112,212112
212113,212113
212210,212210
212221,212221
212222,212222
212230,212231
212230,212234
212291,212291
212299,212299
212311,212311
212312,212312
212313,212313
212319,212319
212321,212321
212322,212322
212324,212324
212325,212325
212391,212391
212392,212392
212393,212393
212399,212399
213111,213111
213112,213112
213113,213113
213114,213114
213115,213115
221111,221111
221112,221112
221113,221113
221114,221114
221115,221115
221116,221116
221117,221117
221118,221118
221121,221121
221122,221122
221210,221210
221310,221310
221320,221320
221330,221330
236115,236115
236116,236116
236117,236117
236118,236118
236210,236210
236220,236220
237110,237110
237120,237120
237130,237130
237210,237210
237310,237310
237990,237990
238110,238110
238120,238120
238130,238130
238140,238140
238150,238150
238160,238160
238170,238170
238190,238190
238210,238210
238220,238220
238290,238290
238310,238310
238320,238320
238330,238330
238340,238340
238350,238350
238390,238390
238910,238910
238990,238990
311111,311111
311119,311119
311211,311211
311212,311212
311213,311213
311221,311221
311224,311224
311225,311225
311230,311230
311313,311313
311314,311314
311340,311340
311351,311351
311352,311352
311411,311411
311412,311412
311421,311421
311422,311422
311423,311423
311511,311511
311512,311512
311513,311513
311514,311514
311520,311520
311611,311611
311612,311612
311613,311613
311615,311615
311710,311710
311811,311811
311812,311812
311813,311813
311821,311821
311824,311824
311830,311830
311911,311911
311919,311919
311920,311920
311930,311930
311941,311941
311942,311942
311991,311991
311999,311999
312111,312111
312112,312112
312113,312113
312120,312120
312130,312130
312140,312140
312230,312230
313110,313110
313210,313210
313220,313220
313230,313230
313240,313240
313310,313310
313320,313320
314110,314110
314120,314120
314910,314910
314994,314994
314999,314999
315110,315110
315190,315190
315210,315210
315220,315220
315240,315240
315280,315280
315990,315990
316110,316110
316210,316210
316992,316992
316998,316998
321113,321113
321114,321114
321211,321211
321212,321212
321213,321213
321214,321214
321219,321219
321911,321911
321912,321912
321918,321918
321920,321920
321991,321991
321992,321992
321999,321999
322110,322110
322121,322121
322122,322122
322130,322130
322211,322211
322212,322212
322219,322219
322220,322220
322230,322230
322291,322291
322299,322299
323111,323111
323113,323113
323117,323117
323120,323120
324110,324110
324121,324121
324122,324122
324191,324191
324199,324199
325110,325110
325120,325120
325130,325130
325180,325180
325193,325193
325194,325194
325199,325199
325211,325211
325212,325212
325220,325220
325311,325311
325312,325312
325314,325314
325320,325320
325411,325411
325412,325412
325413,325413
325414,325414
325510,325510
325520,325520
325611,325611
325612,325612
325613,325613
325620,325620
325910,325910
325920,325920
325991,325991
325992,325992
325998,325998
326111,326111
326112,326112
326113,326113
326121,326121
326122,326122
326130,326130
326140,326140
326150,326150
326160,326160
