TAZ,aer,amf,con,edu,gov,hss,mfg,osv,pbs,rcs,twu,wt
30,398,0,502,1569,104,2951,38,1448,4489,9382,213,427
31,953,67,898,6376,134,9543,1797,801,6929,12362,383,692
32,921,63,2613,390,803,4012,1126,654,3093,12548,486,1001
33,218,6,1439,1725,50,1468,1257,525,8602,4485,142,355
34,318,221,8919,4557,618,3820,4840,1102,18333,9046,1759,2147
35,1227,4,968,138,1354,9946,470,725,3041,4631,148,164
36,332,15,278,2777,34,1608,260,690,1278,5940,205,319
37,451,615,1264,542,578,2586,1991,450,2473,7445,345,912
38,98,117,547,3064,675,1380,91,419,1820,6721,362,325
39,2242,1675,1330,2725,705,1966,1587,215,2277,4427,1963,815
40,2764,1475,462,651,1950,767,84,1320,732,2616,228,250
41,532,115,1827,2828,1380,6653,2927,1052,5428,5445,1376,1010
42,491,117,1136,446,589,3776,534,983,4749,8622,176,600
43,922,241,686,2185,349,7795,105,1213,8414,8651,216,357
44,497,160,997,931,286,3859,98,437,2706,6971,213,414
45,396,387,1672,693,67,2821,1055,740,4262,6984,1039,480
46,828,91,2510,574,79,5208,5924,883,4345,9175,1163,1377
47,614,911,2290,6094,3458,2631,14770,1053,8565,4407,3020,1020
48,769,98,1469,1447,570,15577,472,2429,15985,15420,508,759
49,480,22,1907,14040,2813,13027,548,1628,6792,14784,394,824
50,495,4,3897,11906,11479,7204,3781,1225,8922,8282,3485,2314
51,365,16,2177,341,267,2639,628,1333,10914,8387,505,1369
52,991,180,4883,4071,3150,10337,6731,2701,15546,19092,5485,6539
53,2283,444,4480,12378,14355,43022,6467,4256,45390,28161,6448,6836
54,176,161,693,4300,1029,6212,4843,1402,7961,11465,3438,3170
55,4212,22,2191,2838,1154,4771,13527,1629,19762,11162,4273,12497
56,701,36,1897,3415,947,3517,6525,1275,13587,15298,2789,9529
57,148,152,567,2954,530,4141,24013,1177,5008,8080,4153,12785
58,11,7,253,2328,169,4613,1687,773,2670,3127,230,530
59,177,23257,1327,5292,1884,4687,5996,629,3282,4911,2006,2670
60,1147,2560,2271,7722,1016,16998,663,2483,26099,19791,1145,1239
61,317,163,471,2793,729,7009,578,648,5121,8976,631,593
62,218,50,1311,3034,74,6812,12235,713,5441,6639,5878,7298
63,2376,570,1450,4876,1756,13782,1580,2144,11682,19640,653,2857
64,1487,24,1434,14830,1777,20362,979,4664,39215,19921,1260,1961
65,869,35,2132,4635,863,15999,6707,1589,19787,8876,969,2075
66,11367,101,2552,4881,902,11885,8688,3186,128422,17721,2573,3080
67,636,19,1462,2117,178,6691,2154,1348,8833,7120,425,1282
68,353,18,3202,4424,662,14271,3801,1937,10927,13564,1457,2686
69,115,0,536,1913,9,7583,1061,505,2889,7107,124,538
70,1107,91,2664,4408,189,18081,1050,2957,13625,10453,2171,2221
71,991,47,2693,5137,410,15590,3865,2536,33197,19053,421,2556
72,1269,258,2387,4772,397,3068,2527,2203,24174,11152,474,1975
73,1789,47,1688,18459,976,9325,3980,3435,15271,13796,397,1561
74,2245,33,3693,9948,15026,17920,3364,4970,30298,12086,8734,4426
75,1555,14,709,5376,695,11763,330,1830,4769,7321,177,396
76,14,6,1185,1474,9,5414,1953,634,1932,2901,1932,1125
77,1715,337,6288,4991,3200,13272,8778,3295,21867,17495,11358,5442
78,228,14,1080,2731,11,8867,890,808,2729,5618,401,914
79,354,45,4838,7449,1427,6049,9850,1979,11071,10142,3938,7166
80,622,84,4920,5418,624,5731,27640,2246,22696,14057,3422,10477
81,12,22,50,1127,0,663,363,147,815,620,46,167
82,955,56,3837,490,622,763,2748,610,11482,2794,923,2863
83,668,1170,773,4195,3013,7598,1714,624,1961,4831,590,376
84,911,441,2465,2583,1134,5857,4164,1260,4467,4648,951,1602
85,251,11,783,2577,2529,3681,1110,911,4037,7466,1017,713
86,992,88,5423,5083,7635,11060,3449,2215,16855,13632,2103,1667
87,5283,1555,1917,5388,41,7203,589,5754,57241,20572,339,1777
88,2269,26,1715,6579,1207,10455,1021,5378,33404,24397,1313,3710
89,1343,35,1981,4900,768,11725,528,2949,18537,14123,960,1090
90,4273,781,1748,26496,221,23005,2048,8124,93421,24255,805,3565
91,2117,20,1258,3536,2209,22568,1429,4835,29446,25686,622,2028
92,5631,34,1010,3802,1418,12876,755,6391,27050,31721,1301,3427
93,2566,15,570,5608,1018,27077,1191,3206,28240,19421,852,1426
94,1682,15,811,17633,919,15046,1399,3833,19582,11539,2136,1561
95,368,114,1499,7027,102,6497,2785,1119,3555,6965,1415,1370
96,294,41,804,3350,833,6943,1214,1219,7017,10833,496,1572
97,251,53,868,4331,6966,10754,2166,1075,13592,8820,2558,1710
98,101,39,1501,3798,703,6182,8563,1761,8503,6474,3136,5066
99,548,33,1355,6337,702,12035,2226,2342,6342,10014,1293,2306
100,1155,2005,2345,4181,689,5263,2540,1458,23494,9325,899,2184
101,698,81,1381,3267,156,11798,1094,1494,13022,6151,312,615
102,270,21,4558,4157,923,3797,2916,870,4749,4370,618,1008
103,454,5,1352,2170,332,6020,404,666,2785,8046,649,353
104,468,665,2307,2690,402,1439,636,539,2361,4107,399,193
105,266,48,3197,2397,514,7368,3468,1975,5254,8165,1840,1316
106,1251,1363,3241,9299,12690,13746,4944,3303,10967,9117,2972,3668
107,169,317,921,2580,101,4027,4831,787,2028,5102,2556,4330
108,641,620,2040,5439,888,4800,1109,844,3505,8378,419,428
109,163,14908,886,4464,1095,3420,2312,667,1427,3617,1194,1139
110,261,29321,2605,5878,5340,3519,2985,1092,3873,6341,2695,2661
111,1218,13196,6882,11148,717,9728,3801,2273,15278,16018,2712,3432
112,687,3301,1993,4889,6044,12729,1032,2193,8034,9417,997,1550
113,911,1601,2355,4983,557,9227,1973,3168,8118,10893,812,1641
114,252,5387,2274,2819,29,1769,342,623,1078,5867,1053,362
115,405,5806,4962,2412,5634,2281,4211,631,4189,3901,1147,955
116,2936,291,2138,2685,607,1717,3188,702,4678,5065,674,1374
117,392,69,1863,4832,2147,11631,1206,1070,4809,8815,2057,664
118,988,52,4085,8334,16,11067,13450,3548,19228,17592,1158,6200
119,274,15,2150,2844,7,8405,5758,768,3380,6086,274,1839
120,40,139,1866,3374,264,4990,6251,805,3334,5730,1537,1988
121,158,251,3396,2673,4,7509,8621,1196,6749,4989,2189,2641
122,433,42,785,3183,254,4027,218,1162,4190,4365,488,451
123,361,529,3996,8017,637,9931,12099,2568,12780,12509,2711,5723
124,1565,264,4627,12365,1145,10628,4878,2327,11091,13729,1735,2865
125,164,22,3323,4772,652,10718,4360,1375,4574,6069,2157,3377
126,103,17,1367,9747,381,6004,1625,2098,7951,8185,343,1572
127,591,62,4770,5983,988,6179,9365,1986,19862,17171,5926,3905
128,524,65,3611,2655,648,9042,1933,1512,7752,13528,1110,1496
129,519,1351,1398,2185,320,2562,1750,693,2165,6526,469,635
130,1190,103,1400,7602,1012,9319,16911,2543,13917,11479,226,1200
131,751,17,3612,4613,388,8109,1971,1958,13472,14604,427,1307
132,2517,68,5309,8571,13692,14452,3826,3128,38712,14439,3742,2287
133,651,115,4961,3427,618,5271,3280,2013,9696,13727,2435,1891
134,366,98,688,2217,7,6919,1387,1064,3726,8891,312,362
135,660,7,332,2272,1,2100,3773,303,3049,2505,52,385
136,45,3,1189,1626,11,6106,445,534,2533,7122,427,694
137,151,5297,908,2838,499,3020,1765,653,3953,3619,478,1320
138,1760,867,1706,7818,1315,10013,2682,2651,7777,14557,1312,1710
139,104,56,1583,776,363,582,2648,461,2413,1450,420,1143
140,182,87,1203,1551,40,1731,1732,460,3989,3335,556,1358
141,560,1772,3095,3010,4380,5363,4111,1071,4331,10538,1663,1449
142,1270,3113,3996,4223,853,7590,8428,1596,8364,12445,1317,2974
143,523,36,1068,2481,449,2414,901,727,3117,5840,236,1393
144,1048,865,3746,6825,1226,16555,5101,3211,13383,17149,1965,2088
145,176,4422,1294,4510,1254,2633,2432,530,2335,4719,2278,1354
146,268,363,1809,5108,329,8145,1900,1258,7340,11726,1801,1621
147,353,3846,1477,4020,476,4992,4515,983,3243,6560,1511,1066
148,652,1123,847,3518,2159,10466,4447,1102,5349,6898,1004,493
149,36,3326,1217,713,194,352,2622,136,819,875,1366,1492
150,1417,93,2511,3655,1443,5135,25925,4127,43332,24344,2466,4976
151,695,630,2429,4956,1042,18792,14016,2341,25589,19686,3066,5395
152,399,1450,2713,3546,34,4573,8894,1612,18280,9239,7422,5142
153,465,35,1900,2304,398,5945,1724,1200,5479,5043,992,1130
154,2096,43,1170,5022,945,7796,3217,1724,13372,23636,2661,3791
155,872,224,1077,9321,273,7970,5447,2611,15321,15656,1192,1863
156,0,0,96,5,0,35,229,287,515,901,1069,271
157,13468,383,2752,13371,105790,34552,17959,9423,86157,37981,25367,29047
158,182,3,820,2990,50,7964,2559,1211,5474,6408,872,1775
159,1292,711,1693,3679,922,4538,555,1198,5523,8541,267,435
160,5229,274,4395,1868,475,1703,856,879,2578,3309,634,383
161,946,74,3535,3799,286,9216,5791,1503,24117,11385,435,2868
162,1950,578,1697,3962,470,9094,8401,3571,15815,15413,891,2067
163,6141,74,2052,4092,1596,9100,770,4389,20948,31909,3846,2459
164,916,191,5934,2364,88,4396,12825,2058,55560,10718,2073,6045
165,599,150,2497,4169,234,7140,6988,1443,8641,14910,1147,2529
166,317,4,1378,4321,501,6857,1516,1974,4718,11374,729,949
167,71,0,65,4,1,8,294,225,369,474,1624,366
168,195,428,1896,1095,156,3718,1341,981,4996,5383,1632,928
169,1051,319,2767,3384,2455,9072,1798,2112,12979,7908,482,1258
170,1855,104,3569,5845,3549,8713,1503,3325,15254,16472,1919,1946
171,259,8101,778,3392,680,1688,5680,437,1777,3670,1714,1070
172,365,4267,1094,7620,2605,5757,3853,851,4067,7662,1102,1056
173,843,27,319,972,158,839,133,490,843,5583,32,71
174,925,176,4421,5580,1217,5949,13885,2434,12795,16537,1353,3526
175,931,403,939,1525,87,3325,422,735,3491,4859,219,563
176,509,24,2408,4381,34,3834,9964,1244,10084,7770,1257,2408
177,423,89,4154,10167,22942,6965,8075,2039,33426,11777,1727,4759
178,2043,44,3967,7518,1017,20933,5651,3231,31945,29388,2352,7263
179,531,253,2122,19688,79,9611,2967,2348,35512,10968,398,3003
180,594,23,7840,6751,587,6620,6302,2642,7013,15097,1038,1792
181,399,184,2331,3517,326,15653,669,2226,9065,11433,564,810
182,1222,144,8061,19733,17603,24379,8897,5386,64225,32946,5546,5842
183,2359,95,1622,2336,11377,4150,6674,4266,20442,20646,2887,1819
184,222,17,544,7724,12,6710,574,1954,3865,6795,365,247
185,106,30,527,805,3,3007,761,1146,2568,2623,223,220
186,458,20890,1513,6344,4963,8245,2111,1586,5809,10035,1402,2494
187,43,14481,379,2248,3179,1667,935,209,714,2626,367,405
188,1709,166,2943,11047,3848,10269,4169,5520,73363,36334,32842,4811
189,1014,11,590,2948,745,6008,1823,1331,3792,6493,2880,772
190,34,1,353,2569,3,5823,4096,870,1085,4597,512,719
191,230,48,631,417,105,816,117,193,1062,1588,82,114
192,750,27,1880,4846,283,10192,3961,1668,8696,8628,246,1544
193,2114,61,3883,4437,3956,13491,2815,3626,39773,32309,1716,4155
194,2050,388,10531,20506,3045,15893,39823,5581,125713,29711,5230,19878
195,617,1692,4368,4022,316,7972,9160,2532,23327,16107,493,4413
196,774,407,6623,7116,989,6600,8994,1908,22392,20262,2468,4981
197,806,102,4037,3748,1555,13390,3755,2510,17001,21291,1359,1995
198,2534,101,3036,4595,626,2323,1360,1167,7184,5914,766,1927
199,292,27,2305,2658,625,3140,537,993,3220,5636,459,433
200,529,19,716,3134,349,4398,858,1336,4121,9670,712,872
201,498,212,1907,1990,384,3424,641,1101,4381,4564,445,404
202,3203,8964,2661,3553,3663,3262,1220,811,3588,7230,1210,1156
203,3699,31,2040,3292,2059,13654,680,2503,7494,20474,1538,732
204,706,583,3865,4873,1812,3832,6360,1568,9537,18936,789,3566
205,553,38,2184,3310,315,5792,534,862,3698,6423,260,488
206,428,425,3365,5247,138,3041,1285,758,2726,8101,971,723
207,586,503,1067,3808,364,6212,2333,839,3318,7973,696,670
208,1058,555,1191,3414,1068,3948,1334,760,1706,9292,442,576
209,600,576,3943,5436,877,5690,12744,2449,23010,20148,13588,11695
210,976,715,3539,3400,3082,4122,7184,2166,9513,11998,3643,6320
211,201,116,1698,3067,8,1462,5298,918,4186,4589,7064,3691
212,957,667,1331,2318,855,6459,3051,1309,6334,9938,1079,1562
213,4654,3881,2153,3005,1478,3351,777,729,3458,5871,589,715
214,316,2427,2156,2369,322,2925,1693,858,3561,5959,389,981
215,4631,175,2229,3419,1267,3859,10935,2792,18355,16053,1163,5137
216,484,544,8487,7440,754,4781,13302,2318,11326,11662,1548,5107
217,616,41,1596,7695,1979,10557,5927,1709,7738,15390,1643,2264
218,99,137,897,3064,8076,3088,3376,1070,3223,8103,2080,2598
219,2414,40,1098,3449,1407,11789,1107,3850,39240,23158,1060,1714
220,443,18,882,2070,20,5830,353,1978,4739,11992,151,377
221,136,2,850,21706,36,3493,405,837,2637,3610,90,125
222,601,14,830,8303,153,4078,98,1633,4249,5298,460,209
223,145,53,4707,1475,1524,5608,1726,1445,4708,3837,2239,3316
224,793,624,564,5429,391,10422,518,1452,9826,14312,491,358
225,2,347,406,769,5,918,1243,189,543,1238,1209,956
226,123,4,122,2506,1,4501,2642,305,616,2681,242,543
227,47,14,893,3552,654,6189,9846,564,2676,6953,3113,1755
228,234,72,850,5447,595,9225,2487,1964,5611,10157,947,1795
229,374,234,6974,5692,717,6348,15932,1955,15944,8747,4249,17555
230,257,15,780,5035,616,5710,1301,625,4488,6515,1655,1187
231,207,36,1540,2592,565,8129,4413,1271,5758,6468,1595,2014
232,262,46,387,4925,382,6150,583,510,3078,8361,3396,311
233,155,173,2972,3321,298,1791,2511,740,1926,4787,4617,766
234,255,748,5100,7646,1520,4761,3662,1529,10979,7305,1091,3126
235,748,20,3627,9703,18836,13226,2155,2009,11176,14364,1291,1410
236,828,53,4901,9454,874,9070,11015,3369,12857,18123,2890,5232
237,5044,140,5452,5575,1456,9110,10465,2218,19698,17719,2939,7557
238,20178,10,1002,4484,19,5926,1652,1293,5575,17309,277,599
239,4620,149,13018,4949,2270,20432,17904,2803,34765,20321,4668,13707
240,501,104,8589,5991,2666,10796,6070,3273,29595,15575,1114,5244
241,192,455,2793,1591,12,1366,3090,863,3329,5422,613,1158
242,544,275,10126,5032,1679,5873,9733,1771,12526,11369,1750,5659
243,434,101,2893,2681,265,2363,2975,718,4635,5906,8787,3138
244,3537,378,2800,3451,274,3370,547,2501,9469,15916,654,837
245,735,2148,2330,5414,1978,4998,5513,1357,6625,12128,5665,3862
246,765,11180,4013,5778,2605,4829,7454,2050,7169,9034,5735,5480
247,370,1540,1315,1467,470,2145,760,521,2584,5646,471,733
248,209,1044,1094,1628,981,4399,574,552,1648,2786,481,412
249,400,2,1180,1166,283,6236,63,798,3864,8749,182,353
250,626,42,5874,4725,9277,5820,6682,1382,31307,9077,1295,2156
251,751,21,955,5701,89,6516,207,988,7249,5252,314,316
252,1118,82,764,2214,687,5696,349,1627,4650,10431,513,278
253,683,66,3290,3040,844,6399,11129,2802,18735,14197,11531,6287
254,814,29,2187,3221,536,7844,1639,2945,15682,12659,11919,1778
255,1588,1321,6258,3473,829,4555,1858,1995,31036,13001,634,1731
256,900,22,4708,4998,4786,8828,3636,3503,30473,12283,1142,2164
257,704,190,2881,4289,1397,3500,6212,2361,23023,7286,588,738
258,515,10112,1845,4539,625,6171,2987,1017,5034,7384,1428,1209
259,714,64,4319,5637,3873,12927,1081,1585,10080,12700,891,1476
260,1252,21,2077,2885,4712,4873,679,2347,10851,8663,2695,3543
261,133,10,1415,2043,146,3033,1036,383,2273,3318,903,1376
262,935,180,2099,6846,8570,14720,1990,2842,24259,14631,2374,1795
263,454,398,4895,5528,5273,14405,4933,1932,6546,8462,5840,3195
264,250,27,290,3201,1228,11243,211,528,3075,4551,439,266
265,689,59,1180,3656,1149,4322,1711,986,3560,9543,648,513
266,286,1903,1417,2093,1727,1695,691,612,1634,4178,451,613
267,971,10,1523,2058,3505,4345,667,1343,14591,10087,660,846
268,58,169,299,1794,235,1064,864,634,2090,3339,474,220
269,138,319,2883,4918,348,4112,17087,1213,7949,7540,7806,8021
270,1292,79,2690,5631,584,6019,5086,1588,6223,9416,1609,2152
271,358,11,782,3157,2375,3545,5666,693,3633,6104,2143,1073
272,73,9,254,1748,1829,2115,2056,349,3547,5519,851,973
273,437,42,1630,4335,297,5166,823,821,2392,6702,2064,487
274,3346,169,1452,2220,429,1790,768,539,2064,4903,1051,337
275,701,237,2150,5741,790,8460,1455,1481,9376,10684,1638,1554
276,173,99,2203,4381,526,21207,2717,1245,3338,4597,4349,3142
277,265,129,1344,1682,1838,8349,1317,630,6725,6957,2665,1821
278,129,58,501,5000,787,7993,1115,1749,1734,4749,1609,941
279,219,73,892,2245,340,1798,1338,405,1803,4553,2377,984
280,65,89,1440,2138,1161,7596,1235,721,2823,5852,3803,1064
281,1,0,5,192,14,7,110,4,1410,108,7,0
282,1932,327,2558,23802,3621,29810,10263,4814,102304,24908,1564,6541
283,716,55,1751,3182,528,5642,27857,1487,40081,12621,1826,7310
284,1057,47,4041,4985,1340,3487,13451,1877,16199,13481,916,3027
285,417,121,4669,5196,522,4991,13002,2030,10634,9889,1821,4488
286,236,91,643,3110,2,3044,90,506,1206,3687,143,106
287,148,24799,1161,4504,728,1880,5433,684,3526,3838,1349,1245
288,393,73,1796,2588,510,4105,2399,1222,7712,7297,851,1366
289,2754,84,2620,6394,568,8687,9647,1924,15987,13278,640,3155
290,415,10474,1333,5285,1207,7085,6348,1190,9450,8693,1383,3891
291,826,2820,3266,3835,6467,10536,3484,1898,10271,11925,1506,1871
292,358,1731,831,1873,759,1076,485,413,1324,3388,408,496
293,721,9404,1265,4740,1378,6721,3441,830,2768,8060,2966,979
294,932,10,274,3043,1470,4006,475,2518,4223,4114,150,395
295,2119,3,2144,447,7966,2882,1880,2217,21782,9355,11715,2284
296,1265,11,899,2377,182,6522,4254,788,4830,5085,925,566
297,771,13,1113,4588,418,4991,6025,639,3090,9413,599,368
298,1297,29,4040,7975,838,8563,8404,2232,12726,15780,2959,2747
299,34,12,179,2281,62,3340,5110,346,2598,2425,899,4440
300,989,2,637,3459,32,12332,621,2411,15561,8495,287,1099
301,1345,1083,2578,6169,4896,12749,2283,1910,9448,14006,1736,1793
302,974,424,4182,1389,1549,7005,4301,1242,8836,11676,1597,1920
303,1220,893,4929,9874,5738,12331,8273,2623,19409,18322,1425,2141
304,867,782,1286,2692,1368,997,1450,1295,4399,4415,793,499
305,1155,61,2811,4219,351,6360,3943,2387,16016,13854,367,1104
306,964,22,3460,7353,5400,14582,2424,2745,18190,14032,1178,1504
307,734,47,2233,669,142,3456,661,781,4679,6594,232,587
308,209,31,2216,3214,463,4151,3047,928,7496,6868,1368,1241
309,1295,35,1463,7932,311,3184,851,1655,17985,10923,329,541
310,1387,40,3019,7395,1562,10360,11165,2822,13211,16839,1263,3000
311,1468,28,1323,8955,734,6172,1536,2783,13092,9501,882,1608
312,2850,66,2940,5946,1480,13059,3330,5563,49947,18261,2388,3796
313,2418,116,1668,5646,843,8908,1513,3401,25240,15578,1628,3012
314,1051,20,1288,5285,2455,12938,3941,1310,7782,5464,1452,1035
315,1267,116,2437,6153,1478,11777,16254,2368,19616,13722,3089,4231
316,423,371,1147,2639,2094,3327,3924,1393,7967,7595,3788,3287
317,411,40,1993,5294,1562,8496,10357,2002,12424,13325,1710,2827
318,1298,1,1426,11194,12232,21133,1143,3851,47879,8717,2662,2427
319,1587,56,3074,11580,1570,19076,9975,3042,30356,20751,2238,3197
320,1185,52,1706,3721,902,6262,5173,1116,8741,9396,722,1230
321,695,76,3096,4953,1521,9436,7518,1655,8923,7376,1650,1881
322,1341,85,2612,3535,6503,7692,3673,2429,17758,13517,1086,3423
323,497,520,2412,3777,1166,7489,4860,1746,8896,7880,1704,3867
324,469,3,1018,6182,1981,11517,3183,1732,5377,9084,777,1107
325,881,65,2063,2777,639,6192,7076,1484,11031,8954,2295,3708
326,628,31,1426,6086,1175,7911,3176,1662,6678,8907,676,1060
327,945,47,1673,3874,1483,8281,5437,2177,10868,15876,2246,3546
328,697,5,1552,26786,3800,21661,2309,2447,14465,8261,1809,1000
329,943,290,2274,3910,786,5589,3285,1791,5759,8846,991,1704
330,13500,1248,1995,4262,3029,8084,1685,1598,4236,10148,1802,1729
331,881,44,1859,5885,1521,8799,13621,1721,8093,11916,2738,1525
332,1049,4,4948,4490,3787,8902,1605,2078,31421,6936,2971,1598
333,2486,102,1499,4576,294,15513,2886,1960,22279,16439,492,2848
334,1488,2,3129,10741,3759,20360,2626,1835,29094,19014,3926,2120
335,645,114,3987,5152,337,3213,5180,1722,7172,10543,3546,2602
336,1487,0,1869,20427,708,11260,113,5827,20699,17100,485,524
337,81,0,1330,5763,190,22647,208,1482,6676,4387,548,319
338,623,0,3383,4861,16304,7629,211,3715,11797,7593,2787,1353
339,75,0,1583,1489,3349,6210,85,580,2955,1601,1965,264
340,10173,0,6021,26554,112239,21535,3744,53325,165345,53447,3295,2547
341,1616,169,6732,1675,342,9887,5456,3061,16642,16589,2299,7437
342,967,61,6354,4653,2636,12314,3745,2329,38007,14225,2925,6364
343,1459,21,2089,36211,2914,11672,3239,2043,33661,27441,955,3465
344,56,0,231,298,197,4882,158,722,3244,4798,546,185
345,1393,93,1469,22698,7072,23125,1796,2063,14414,16487,447,1519
346,428,1009,2406,874,673,2655,2531,1018,5869,7610,2190,1234
347,1353,22,1376,642,3448,4462,2146,1469,10348,12659,1013,1087
348,846,64,3653,2820,1758,13896,8199,1800,15259,13027,823,2136
349,204,20,1520,419,1040,2943,4434,514,2352,5514,692,406
350,516,291,1693,794,1568,4890,793,1467,11190,12387,479,1975
351,400,52,3845,280,1483,5413,3072,1335,13283,10306,2327,3183
352,1214,31,3332,4544,17163,9168,2031,6669,24776,23915,2415,3925
353,959,43,2342,740,4498,4444,2353,2021,14123,14540,5968,2863
354,866,174,3821,7499,1111,3116,909,1508,8073,13698,972,2262
355,881,119,1117,913,559,4306,312,1427,9719,10435,615,5939
356,404,23,811,802,2199,6729,952,1075,12894,14343,2437,3089
357,543,73,1619,897,1882,11837,403,2669,10742,9940,627,1152
358,1068,10,1100,231,1810,1787,1522,1418,4755,8271,598,2259
359,767,120,3307,13100,6055,8941,3871,2076,9247,12954,949,1870
360,2054,16,1512,490,1027,3951,961,1115,5349,7937,383,909
361,2626,66,3998,415,4358,8845,1146,2259,8476,14676,897,1273
362,2212,4525,2038,729,394,1339,506,905,4517,5286,262,938
363,461,99,2948,226,8328,2146,5843,1502,8708,10791,11694,3888
364,1774,113,5259,8187,3779,9086,7644,2623,19621,12205,10769,6073
365,991,44,1878,398,719,3453,495,1187,6970,13627,489,857
366,1311,106,4965,17269,1421,32545,3137,2283,66762,29796,2084,7038
367,1001,33,4799,1235,818,7686,4298,2026,28168,15243,2177,2785
368,601,77,3389,907,352,9427,852,2224,16213,16572,1250,969
369,158,150,3065,1780,549,4983,3840,1061,8843,8684,1520,1627
370,1633,60,6031,8494,5490,17014,1613,2996,22385,33750,2741,3395
371,1195,61,3065,783,1063,11277,2728,1314,5220,7736,1671,2459
372,1219,72,2603,1183,703,7576,1516,1637,18377,14300,931,2189
373,928,27,3028,8845,1058,18234,2187,1347,22152,14506,705,3796
374,273,6336,3047,226,580,2708,3402,848,4471,7454,1870,2432
375,1022,203,5959,3233,390,9884,6043,2363,32885,24801,3461,7459
376,818,4522,2309,291,247,4121,1199,944,3774,7457,851,901
377,2868,665,4556,2191,760,1836,822,1532,7482,13260,1460,1001
378,470,356,2684,907,4497,5715,229,1390,9237,10025,632,1047
379,911,108,2396,17373,30356,11970,1376,4492,20427,22682,913,1893
380,1487,4091,1901,6234,2423,5662,2591,1051,4950,6789,561,1309
381,1066,1750,3277,1871,304,3379,3993,1330,7220,8496,769,1776
382,918,1641,1308,121,208,1025,497,329,1198,2552,275,364
383,215,1734,3200,164,446,2068,2405,870,5001,6324,478,1239
384,446,567,2826,312,767,4545,869,1233,7719,12021,616,2225
385,71109,154,2256,2224,1247,5447,4759,3314,39225,88265,1545,1957
386,397,58,3704,1457,3210,4116,2902,2506,24988,28761,4088,6341
387,2114,14,3925,24712,16026,19206,1408,3948,41942,15760,4345,2740
388,622,195,3491,3960,173,4072,2876,2467,12393,9045,1087,4144
389,344,14,1807,8475,472,5215,2063,1361,21740,10041,358,1241
390,1258,44,3097,781,3155,8078,861,1025,14079,22609,1835,2013
391,495,294,1153,8923,1667,1903,505,566,2372,5148,183,337
392,369,126,1007,20432,6448,4382,111,1097,6903,6623,490,393
393,696,369,2264,2818,630,8184,530,1235,4083,7080,334,859
394,1197,232,585,590,80,4534,118,1554,5175,7631,311,1088
395,1583,2974,1387,291,448,3413,393,1059,6706,8210,211,846
396,1229,2646,2810,823,1181,3599,2051,1048,7810,8358,925,1539
397,547,77,2304,1038,3784,4396,1007,876,3378,3990,421,624
398,671,18,2062,485,805,5310,1234,1062,7008,9183,408,895
399,2079,13,2752,724,984,9545,2680,1425,12744,12050,286,1448
400,1177,23,1738,1665,5084,9979,2541,1227,14029,13556,342,2009
401,332,19,2052,19101,3996,10075,2999,1285,15135,10199,1939,3932
402,254,42,6147,3523,993,7473,14296,2315,33952,15461,1524,4228
403,2415,37,1674,1559,4681,16795,2282,2148,14990,11860,766,1322
404,993,5,873,1236,453,5028,849,1373,6451,13806,203,804
405,1202,253,2910,2453,3251,13474,6996,1471,21238,17314,7118,3322
